2019,Fall,2019-fa,ACE,161,Microcomputer Applications,12,22,3,6,1,1,3,2,0,0,1,0,0,0,"Li, Liqing"
2019,Fall,2019-fa,ACE,161,Microcomputer Applications,0,61,0,0,26,0,0,12,0,0,4,0,1,0,"Lo, Alexander C"
2019,Fall,2019-fa,ACE,199,Digital Mktg and Social Media,0,30,0,0,40,0,0,10,0,0,0,0,0,0,"Lo, Alexander C"
2019,Fall,2019-fa,ACE,210,Environmental Economics,24,34,28,13,29,7,6,6,4,1,1,3,0,0,"Christensen, Peter"
2019,Fall,2019-fa,ACE,222,Agricultural Marketing,12,21,15,19,25,16,13,9,6,6,2,2,8,0,"Stoddard, Paul B"
2019,Fall,2019-fa,ACE,240,Personal Financial Planning,7,55,22,31,21,10,4,4,2,0,0,11,0,0,"Stoddard, Paul B"
2019,Fall,2019-fa,ACE,240,Personal Financial Planning,0,161,0,0,25,0,0,11,0,0,1,0,3,0,"Lemoine, Craig"
2019,Fall,2019-fa,ACE,251,The World Food Economy,28,43,28,24,28,16,8,9,4,0,0,0,3,0,"Michelson, Hope C"
2019,Fall,2019-fa,ACE,261,Applied Statistical Methods,44,5,7,2,10,2,1,5,1,0,1,1,1,0,"Gundersen, Lisa C"
2019,Fall,2019-fa,ACE,306,Food Law,4,11,6,3,3,2,1,9,2,0,0,0,0,0,"Endres, A B"
2019,Fall,2019-fa,ACE,341,Issues in Agribus Mkts & Mgmt,23,7,2,1,1,0,0,0,0,0,0,0,0,0,"Fox, John A"
2019,Fall,2019-fa,ACE,341,Issues in Cons Econ & Finance,3,25,12,1,2,2,0,1,1,0,0,0,1,0,"Helton, Caroline A"
2019,Fall,2019-fa,ACE,341,Contemp Issue Comm Fin Plng,2,15,2,2,6,1,0,3,0,0,1,0,1,0,"Allen, Sharon C"
2019,Fall,2019-fa,ACE,341,Issues in AgAccy and FinAg,0,31,6,4,1,0,1,1,1,1,1,0,0,1,"Finnegan, Ann B"
2019,Fall,2019-fa,ACE,345,Finan Decision Indiv Sm Bus,10,40,19,18,15,4,8,3,2,2,0,0,0,1,"Paulson, Nicholas D"
2019,Fall,2019-fa,ACE,346,Tax Policy and Finan Planning,16,12,8,8,14,5,3,3,0,0,0,2,0,0,"Breen, John"
2019,Fall,2019-fa,ACE,360,Spreadsheet Models & Applic,3,8,4,4,1,2,0,0,0,0,0,0,0,1,"Gatti, Nicolas"
2019,Fall,2019-fa,ACE,398,Intermediate App Micro Theory,1,40,3,6,7,2,1,1,0,1,0,0,1,0,"Parthum, Bryan M"
2019,Fall,2019-fa,ACE,398,App Stat Mthds & Data Anlytcs1,2,4,8,3,4,1,0,1,0,0,0,1,0,0,"Ellison, Brenna"
2019,Fall,2019-fa,ACE,398,Risk Mngmt in Personal Fin Pla,1,52,0,0,4,0,0,1,0,0,0,0,1,1,"Lemoine, Craig"
2019,Fall,2019-fa,ACE,406,Environmental Law,2,10,7,2,8,0,2,4,1,0,0,1,0,0,"Endres, A B"
2019,Fall,2019-fa,ACE,411,Environment and Development,20,14,3,4,12,1,0,0,0,0,0,0,1,0,"Baylis, Katherine R"
2019,Fall,2019-fa,ACE,427,Commodity Price Analysis,20,8,0,9,2,2,2,0,0,0,0,0,0,0,"Hu, Zhepeng"
2019,Fall,2019-fa,ACE,427,Commodity Price Analysis,25,12,8,2,4,2,0,0,1,1,0,0,0,0,"Tremacoldi Ross, Pedro"
2019,Fall,2019-fa,ACE,428,Commodity Futures and Options,1,7,7,3,4,4,1,3,0,0,0,1,0,0,"Robe, Michel A"
2019,Fall,2019-fa,ACE,432,Farm Management,0,1,2,5,3,4,1,5,2,0,0,0,0,0,"Raab, Dwight D"
2019,Fall,2019-fa,ACE,435,Global Agribusiness Management,1,17,15,18,16,9,2,7,1,0,0,0,0,0,"Scholl, Jon H"
2019,Fall,2019-fa,ACE,444,Finan Serv & Invest Plan,1,37,10,5,19,8,2,0,0,0,0,0,0,0,"Schnitkey, Gary D"
2019,Fall,2019-fa,ACE,445,Intermediate Personal Fin Plan,3,44,0,0,7,1,0,8,0,0,0,0,0,1,"Lemoine, Craig"
